Rentree_Scolaire,Region,Academie,Departement,Commune,Numero_Du_College,Denomination_Principale,Patronyme,Secteur,Nombre_D_Eleves_Total,PRIVE,PUBLIC,priporitaire
2022,NORMANDIE,NORMANDIE,MANCHE,CHERBOURG-EN-COTENTIN,0501205N,COLLEGE,LES PROVINCES,PUBLIC,342,0,1,1
2022,NORMANDIE,NORMANDIE,MANCHE,CHERBOURG-EN-COTENTIN,0501216A,COLLEGE,EMILE ZOLA,PUBLIC,448,0,1,0
2022,NORMANDIE,NORMANDIE,MANCHE,CHERBOURG-EN-COTENTIN,0501482P,COLLEGE,JULES FERRY,PUBLIC,412,0,1,0
2022,NORMANDIE,NORMANDIE,MANCHE,CHERBOURG-EN-COTENTIN,0502008L,COLLEGE,BUCAILLE-CHARCOT,PUBLIC,376,0,1,0
2022,NORMANDIE,NORMANDIE,MANCHE,GAVRAY-SUR-SIENNE,0500035S,COLLEGE,ROLAND VAUDATIN,PUBLIC,184,0,1,0
2022,NORMANDIE,NORMANDIE,MANCHE,ISIGNY-LE-BUAT,0501830T,COLLEGE,LEON JOZEAU MARIGNE,PUBLIC,120,0,1,0
2022,NORMANDIE,NORMANDIE,MANCHE,LA HAYE,0501218C,COLLEGE,ETENCLIN,PUBLIC,244,0,1,0
2022,NORMANDIE,NORMANDIE,MANCHE,SAINT-HILAIRE-DU-HARCOUET,0500148P,COLLEGE PRIVE,IMMACULEE CONCEPTION,PRIVE,182,1,0,0
2022,NORMANDIE,NORMANDIE,MANCHE,SAINT-JEAN-DE-DAYE,0501301T,COLLEGE,DU MARAIS,PUBLIC,207,0,1,0
2022,NORMANDIE,NORMANDIE,MANCHE,SAINT-LO,0501219D,LYCEE POLYVALENT,CURIE-COROT,PUBLIC,24,0,1,0
2022,NORMANDIE,NORMANDIE,MANCHE,SAINT-PIERRE-EGLISE,0500122L,COLLEGE PRIVE,NOTRE DAME,PRIVE,186,1,0,0
2022,NORMANDIE,NORMANDIE,MANCHE,SAINT-VAAST-LA-HOUGUE,0501300S,COLLEGE,GUILLAUME FOUACE,PUBLIC,141,0,1,1
2022,NORMANDIE,NORMANDIE,MANCHE,TORIGNY-LES-VILLES,0500079P,COLLEGE,ALBERT CAMUS,PUBLIC,522,0,1,0
2022,NORMANDIE,NORMANDIE,ORNE,ALENCON,0610056E,COLLEGE,SAINT EXUPERY,PUBLIC,343,0,1,0
2022,NORMANDIE,NORMANDIE,ORNE,ARGENTAN,0611022E,COLLEGE,JEAN ROSTAND,PUBLIC,339,0,1,0
2022,NORMANDIE,NORMANDIE,ORNE,ARGENTAN,0611023F,COLLEGE,FRANCOIS TRUFFAUT,PUBLIC,428,0,1,0
2022,NORMANDIE,NORMANDIE,ORNE,ARGENTAN,0611099N,COLLEGE PRIVE,JEANNE D ARC,PRIVE,244,1,0,0
2022,NORMANDIE,NORMANDIE,ORNE,DOMFRONT EN POIRAIE,0610696A,COLLEGE PRIVE,SACRE COEUR,PRIVE,177,1,0,0
2022,NORMANDIE,NORMANDIE,ORNE,DOMFRONT EN POIRAIE,0610970Y,COLLEGE,JACQUES PREVERT,PUBLIC,277,0,1,0
