Matiere,Departement,Insuffisant,moyen,bon,Niveau
Mathématiques,Bas-Rhin,28.1,35.5,36.400000000000006,6 ème
Mathématiques,Cote-D'Or,25.700000000000003,37.7,36.6,6 ème
Mathématiques,Cotes-D'Armor,28.2,38.9,32.9,6 ème
Mathématiques,Deux-Sevres,31.2,38.0,30.9,6 ème
Mathématiques,Gard,32.5,37.9,29.6,6 ème
Mathématiques,Gers,24.3,37.0,38.7,6 ème
Mathématiques,Guadeloupe,52.099999999999994,31.2,16.8,6 ème
Mathématiques,Haute-Corse,34.7,38.4,26.9,6 ème
Mathématiques,Indre,32.0,40.2,27.799999999999997,6 ème
Mathématiques,Lozere,24.299999999999997,38.0,37.599999999999994,6 ème
Mathématiques,Martinique,49.3,32.2,18.5,6 ème
Mathématiques,Morbihan,27.6,39.6,32.8,6 ème
Mathématiques,Moselle,30.299999999999997,36.8,33.0,6 ème
Mathématiques,Orne,38.0,38.3,23.6,6 ème
Mathématiques,Polynesie-Francaise,59.0,27.5,13.6,6 ème
Mathématiques,Rhone,27.8,34.4,37.8,6 ème
Mathématiques,Saint-Barthelemy,18.8,36.5,44.7,6 ème
Mathématiques,Seine-Et-Marne,34.0,37.9,28.2,6 ème
Mathématiques,Vendee,25.4,38.6,36.0,6 ème
Français,Ain,24.2,39.900000000000006,35.9,6 ème
Français,Allier,28.3,43.0,28.8,6 ème
Français,Bas-Rhin,26.6,38.9,34.6,6 ème
Français,Corse-Du-Sud,24.700000000000003,41.0,34.4,6 ème
Français,Cote-D'Or,22.2,41.1,36.8,6 ème
Français,Gard,28.200000000000003,40.9,30.9,6 ème
Français,Haute-Garonne,20.5,36.7,42.7,6 ème
Français,Hautes-Alpes,23.0,40.0,37.0,6 ème
Français,Loiret,27.3,42.0,30.7,6 ème
Français,Meurthe-Et-Moselle,26.9,40.5,32.4,6 ème
Français,Nievre,31.700000000000003,42.4,25.9,6 ème
Français,Polynesie-Francaise,52.9,31.6,15.5,6 ème
Français,Pyrenees-Orientales,31.799999999999997,40.8,27.4,6 ème
Français,Sarthe,32.8,39.7,27.5,6 ème
Français,Seine-Et-Marne,25.2,42.2,32.6,6 ème
Français,Vaucluse,29.0,42.2,28.799999999999997,6 ème
Français,Vendee,23.799999999999997,42.8,33.3,6 ème
Mathématiques,Andorre,32.4,41.599999999999994,26.1,6 ème
Mathématiques,Ardeche,31.400000000000002,36.2,32.4,6 ème
Mathématiques,Aveyron,26.0,38.3,35.6,6 ème
Mathématiques,Cher,34.0,38.099999999999994,27.8,6 ème
Mathématiques,Corse-Du-Sud,32.5,37.8,29.7,6 ème
Mathématiques,Drome,27.5,37.3,35.2,6 ème
Mathématiques,Haute-Vienne,29.2,37.3,33.6,6 ème
Mathématiques,Hautes-Alpes,23.0,39.9,37.1,6 ème
Mathématiques,Isere,28.7,35.6,35.7,6 ème
Mathématiques,Loir-Et-Cher,35.400000000000006,36.0,28.5,6 ème
Mathématiques,Maine-Et-Loire,27.9,37.7,34.5,6 ème
Mathématiques,Manche,32.1,39.4,28.5,6 ème
Mathématiques,Meuse,33.5,36.5,30.0,6 ème
Mathématiques,National,32.2,36.0,31.9,6 ème
Mathématiques,Nievre,35.9,37.900000000000006,26.1,6 ème
Mathématiques,Sarthe,37.2,35.5,27.299999999999997,6 ème
Mathématiques,Somme,37.8,36.9,25.299999999999997,6 ème
Mathématiques,Tarn,28.700000000000003,37.2,34.1,6 ème
Mathématiques,Val-De-Marne,33.7,34.400000000000006,31.9,6 ème
Français,Aisne,35.5,40.4,24.0,6 ème
Français,Aube,29.9,42.1,28.0,6 ème
Français,Aude,29.5,39.8,30.700000000000003,6 ème
Français,Cantal,25.799999999999997,45.7,28.4,6 ème
Français,Creuse,32.6,37.8,29.6,6 ème
Français,Doubs,24.6,41.7,33.7,6 ème
Français,Drome,23.3,41.6,35.2,6 ème
Français,Eure-Et-Loir,28.799999999999997,42.1,29.1,6 ème
Français,Gers,23.8,40.6,35.7,6 ème
Français,Guadeloupe,38.8,37.7,23.4,6 ème
Français,Guyane,70.2,20.5,9.3,6 ème
Français,Haute-Savoie,19.5,39.0,41.599999999999994,6 ème
Français,Haute-Corse,29.4,42.6,27.9,6 ème
Français,Hautes-Pyrenees,25.5,40.5,34.0,6 ème
Français,Herault,25.1,40.5,34.4,6 ème
Français,Ille-Et-Vilaine,21.5,38.5,40.0,6 ème
Français,Jura,26.6,41.5,31.9,6 ème
Français,Loir-Et-Cher,31.200000000000003,38.9,30.0,6 ème
Français,Lozere,24.200000000000003,39.099999999999994,36.7,6 ème
Français,Maine-Et-Loire,24.7,41.7,33.5,6 ème
Français,Martinique,36.7,37.7,25.6,6 ème
Français,Mayotte,84.4,12.0,3.6999999999999997,6 ème
Français,Moselle,26.4,40.6,33.0,6 ème
Français,Puy-De-Dome,21.799999999999997,38.7,39.5,6 ème
Français,Seine-Saint-Denis,35.2,39.3,25.6,6 ème
Français,Vosges,29.200000000000003,42.400000000000006,28.3,6 ème
Mathématiques,Aisne,40.8,36.900000000000006,22.299999999999997,6 ème
Mathématiques,Allier,33.3,39.8,26.9,6 ème
Mathématiques,Calvados,30.1,36.9,32.900000000000006,6 ème
Mathématiques,Cantal,27.700000000000003,39.9,32.4,6 ème
Mathématiques,Charente-Maritime,30.1,37.6,32.4,6 ème
Mathématiques,Eure,37.400000000000006,36.9,25.700000000000003,6 ème
Mathématiques,Eure-Et-Loir,34.6,38.400000000000006,27.0,6 ème
Mathématiques,Gironde,26.9,35.0,38.2,6 ème
Mathématiques,Haut-Rhin,29.8,39.5,30.799999999999997,6 ème
Mathématiques,Haute-Savoie,22.1,36.2,41.7,6 ème
Mathématiques,Haute-Garonne,24.6,34.400000000000006,41.0,6 ème
Mathématiques,Haute-Marne,34.2,37.7,28.0,6 ème
Mathématiques,Hautes-Pyrenees,29.3,34.9,35.8,6 ème
Mathématiques,Jura,28.799999999999997,38.7,32.5,6 ème
Mathématiques,Loire-Atlantique,24.8,36.3,39.0,6 ème
Mathématiques,Lot-Et-Garonne,34.4,39.0,26.700000000000003,6 ème
Mathématiques,Oise,34.6,37.8,27.6,6 ème
Mathématiques,Seine-Saint-Denis,46.0,34.3,19.6,6 ème
Mathématiques,Tarn-Et-Garonne,34.9,36.9,28.3,6 ème
Mathématiques,Val-D'Oise,37.9,36.5,25.6,6 ème
Français,Ariege,24.8,40.900000000000006,34.3,6 ème
Français,Bouches-Du-Rhone,26.599999999999998,39.900000000000006,33.5,6 ème
Français,Calvados,28.4,40.6,31.099999999999998,6 ème
Français,Correze,24.700000000000003,41.3,34.0,6 ème
Français,Dordogne,27.200000000000003,41.8,31.1,6 ème
Français,Essonne,27.1,38.7,34.1,6 ème
Français,Haute-Loire,23.5,41.8,34.7,6 ème
Français,Indre,28.3,45.2,26.6,6 ème
Français,Indre-Et-Loire,22.5,40.4,37.2,6 ème
Français,Isere,24.799999999999997,39.6,35.6,6 ème
Français,Landes,21.3,43.2,35.5,6 ème
Français,Loire,26.799999999999997,41.4,31.9,6 ème
Français,Loire-Atlantique,21.3,38.400000000000006,40.400000000000006,6 ème
Français,Lot-Et-Garonne,30.099999999999998,42.0,27.9,6 ème
Français,Meuse,30.799999999999997,42.3,27.0,6 ème
Français,Morbihan,22.8,41.0,36.1,6 ème
Français,Paris,14.8,29.9,55.3,6 ème
Français,Saint-Martin,66.6,23.4,10.0,6 ème
Français,St-Pierre-Et-Miquelon,37.6,26.1,36.2,6 ème
Français,Tarn,24.9,40.7,34.5,6 ème
Français,Tarn-Et-Garonne,30.6,40.2,29.200000000000003,6 ème
Français,Val-D'Oise,29.2,39.7,31.1,6 ème
Français,Val-De-Marne,25.799999999999997,38.0,36.099999999999994,6 ème
Français,Var,23.6,42.9,33.400000000000006,6 ème
Français,Yvelines,19.1,35.900000000000006,45.0,6 ème
