Secteur_D_Enseignement,Libelle_Departement,Inscrits,Presents,Admis,Admis_Sans_Mention,Nombre_D_Admis_Mention_Ab,Admis_Mention_Bien,Admis_Mention_Tres_Bien,PRIVE,PUBLIC
PUBLIC,Haute-Loire,1512,1509,1369,288,312,334,435,0,22
PRIVE,Haute-Marne,259,259,253,44,58,55,96,4,0
PUBLIC,Haute-Marne,1609,1601,1371,368,314,315,374,0,23
PRIVE,Haute-Saone,346,344,323,73,81,83,86,6,0
PUBLIC,Haute-Saone,2339,2324,2033,553,462,477,541,0,23
PRIVE,Haute-Savoie,2535,2528,2453,279,488,810,876,22,0
PUBLIC,Haute-Savoie,7453,7396,6447,1340,1514,1723,1870,0,49
PRIVE,Haute-Vienne,421,419,412,60,85,120,147,5,0
PUBLIC,Haute-Vienne,3368,3354,2843,767,676,665,735,0,34
PUBLIC,Hautes-Alpes,1385,1379,1208,275,304,309,320,0,14
PRIVE,Hautes-Alpes,150,150,149,22,35,48,44,1,0
PUBLIC,Hautes-Pyrenees,1892,1868,1685,339,374,428,544,0,20
PRIVE,Hautes-Pyrenees,464,459,433,84,116,133,100,6,0
PUBLIC,Hauts-De-Seine,13952,13860,12393,2643,2499,2798,4453,0,99
PRIVE,Hauts-De-Seine,4850,4849,4808,295,567,1402,2544,35,0
PUBLIC,Herault,10502,10342,8939,1945,2196,2337,2461,0,77
PRIVE,Herault,2159,2152,2100,202,394,723,781,22,0
PUBLIC,Ille-Et-Vilaine,7742,7687,6894,1156,1521,1812,2405,0,62
PRIVE,Ille-Et-Vilaine,5606,5596,5416,602,1106,1720,1988,46,0
PUBLIC,Indre,2049,2036,1743,491,424,418,410,0,27
PRIVE,Indre,203,203,198,31,43,54,70,4,0
PUBLIC,Indre-Et-Loire,5660,5641,4842,1241,1172,1179,1250,0,53
PRIVE,Indre-Et-Loire,1301,1301,1240,234,286,333,387,16,0
PRIVE,Isere,2764,2761,2715,282,559,831,1043,22,0
PUBLIC,Isere,12817,12709,10958,2379,2654,2718,3207,0,96
PUBLIC,Jura,2251,2249,1969,450,447,485,587,0,27
PRIVE,Jura,529,526,498,129,113,152,104,10,0
PUBLIC,La-Reunion,12963,12813,10608,2858,2901,2562,2287,0,77
PRIVE,La-Reunion,1236,1234,1220,131,214,392,483,7,0
PUBLIC,Landes,4053,4000,3498,652,842,979,1025,0,39
PRIVE,Landes,447,447,434,42,112,125,155,7,0
PUBLIC,Loir-Et-Cher,3136,3113,2668,737,723,619,589,0,27
PRIVE,Loir-Et-Cher,645,644,600,129,147,159,165,10,0
PRIVE,Loire,2604,2597,2482,345,552,784,801,26,0
PUBLIC,Loire,6171,6095,5224,981,1294,1337,1612,0,50
PRIVE,Loire-Atlantique,6952,6934,6677,1082,1487,2126,1982,57,0
PUBLIC,Loire-Atlantique,10325,10228,8976,1878,2049,2370,2679,0,83
PRIVE,Loiret,1071,1070,1038,150,208,321,359,12,0
PUBLIC,Loiret,7541,7489,6356,1674,1604,1512,1566,0,57
PRIVE,Lot,204,204,185,42,47,48,48,4,0
PUBLIC,Lot,1432,1423,1271,309,322,332,308,0,19
PUBLIC,Lot-Et-Garonne,2915,2872,2384,564,602,563,655,0,28
PRIVE,Lot-Et-Garonne,640,637,581,115,150,159,157,9,0
PUBLIC,Lozere,608,608,558,106,127,136,189,0,12
PRIVE,Lozere,250,250,235,50,64,68,53,5,0
PRIVE,Maine-Et-Loire,4948,4939,4729,851,1220,1410,1248,42,0
PUBLIC,Maine-Et-Loire,5174,5112,4335,1048,1092,1095,1100,0,50
PUBLIC,Manche,3909,3901,3533,859,789,915,970,0,53
PRIVE,Manche,1387,1385,1336,242,308,407,379,19,0
PUBLIC,Marne,5220,5184,4522,1018,999,1079,1426,0,47
PRIVE,Marne,1495,1495,1471,176,272,480,543,12,0
PRIVE,Martinique,668,664,655,129,158,182,186,7,0
PUBLIC,Martinique,3785,3769,3315,1242,799,683,591,0,43
PUBLIC,Mayenne,2136,2126,1866,484,450,513,419,0,27
PRIVE,Mayenne,1647,1645,1580,278,375,470,457,15,0
PUBLIC,Mayotte,7068,6935,4925,2581,1351,695,298,0,22
PRIVE,Mayotte,14,14,12,2,3,2,5,1,0
PRIVE,Meurthe-Et-Moselle,1182,1180,1135,156,194,320,465,13,0
PUBLIC,Meurthe-Et-Moselle,6607,6553,5683,1242,1321,1383,1737,0,66
PUBLIC,Meuse,1725,1708,1505,341,342,364,458,0,22
PRIVE,Meuse,242,242,233,32,52,59,90,5,0
PUBLIC,Morbihan,4137,4120,3741,702,841,1004,1194,0,43
PRIVE,Morbihan,4625,4616,4417,565,991,1420,1441,45,0
PUBLIC,Moselle,9781,9692,8424,1953,1805,2056,2610,0,90
PRIVE,Moselle,1704,1700,1663,186,311,495,671,11,0
PUBLIC,Nievre,1727,1716,1488,430,368,314,376,0,29
PRIVE,Nievre,220,218,201,37,56,40,68,4,0
PUBLIC,Nord,22274,21936,18584,5411,4298,4063,4812,0,201
PRIVE,Nord,10212,10199,9913,1460,2133,3021,3299,81,0
PUBLIC,Oise,8843,8778,7626,1935,1959,1905,1827,0,66
PRIVE,Oise,1704,1703,1681,187,331,462,701,13,0
PRIVE,Orne,705,705,679,133,186,197,163,13,0
PUBLIC,Orne,2129,2116,1853,449,462,473,469,0,31
PRIVE,Paris,7196,7182,7046,424,833,2015,3774,62,0
PUBLIC,Paris,13578,13500,11854,1885,2131,2530,5308,0,115
PRIVE,Pas-De-Calais,3357,3351,3317,334,597,1049,1337,32,0
PUBLIC,Pas-De-Calais,14593,14427,12511,3651,2988,2647,3225,0,125
PUBLIC,Puy-De-Dome,5644,5594,4824,992,1153,1122,1557,0,57
PRIVE,Puy-De-Dome,1407,1404,1342,231,276,398,437,21,0
PRIVE,Pyrenees-Atlantiques,2501,2496,2425,263,507,809,846,38,0
PUBLIC,Pyrenees-Atlantiques,4974,4895,4439,757,1009,1233,1440,0,49
PUBLIC,Pyrenees-Orientales,4380,4244,3680,834,932,909,1005,0,31
PRIVE,Pyrenees-Orientales,933,932,904,128,168,260,348,8,0
PRIVE,Rhone,7491,7469,7275,634,1228,2312,3101,55,0
PUBLIC,Rhone,15230,15053,12752,2711,3144,3163,3734,0,113
PUBLIC,Saone-Et-Loire,5136,5102,4627,1217,1110,1091,1209,0,51
PRIVE,Saone-Et-Loire,703,703,689,119,156,218,196,10,0
PRIVE,Sarthe,1645,1637,1568,257,404,444,463,19,0
PUBLIC,Sarthe,5118,5085,4400,1012,1081,1111,1196,0,56
PUBLIC,Savoie,4174,4142,3734,698,873,1000,1163,0,38
PRIVE,Savoie,756,753,699,120,174,203,202,8,0
PUBLIC,Seine-Et-Marne,17839,17757,15704,4025,3847,3747,4085,0,127
PRIVE,Seine-Et-Marne,2374,2369,2337,259,448,750,880,17,0
PRIVE,Seine-Maritime,2684,2680,2606,365,565,747,929,23,0
PUBLIC,Seine-Maritime,12136,12054,10398,2709,2401,2384,2904,0,109
PUBLIC,Seine-Saint-Denis,18751,18537,15434,4793,3959,3390,3292,0,130
PRIVE,Seine-Saint-Denis,2699,2694,2612,392,548,799,873,26,0
PRIVE,Somme,1479,1477,1446,174,295,398,579,17,0
PUBLIC,Somme,5000,4948,4403,1047,1099,1064,1193,0,50
PRIVE,Tarn,857,857,785,152,211,208,214,11,0
PUBLIC,Tarn,3373,3353,2949,713,703,740,793,0,31
PUBLIC,Tarn-Et-Garonne,2595,2563,2140,570,541,478,551,0,17
PRIVE,Tarn-Et-Garonne,627,627,604,80,123,210,191,7,0
PUBLIC,Territoire-De-Belfort,1343,1335,1178,250,254,271,403,0,14
PRIVE,Territoire-De-Belfort,312,311,299,51,63,113,72,3,0
PUBLIC,Val-D-Oise,15481,15344,12870,3860,3205,2938,2867,0,111
PRIVE,Val-D-Oise,2668,2663,2606,363,558,820,865,26,0
PUBLIC,Val-De-Marne,13603,13508,11691,2924,2673,2574,3520,0,105
PRIVE,Val-De-Marne,2470,2464,2433,217,366,688,1162,24,0
PRIVE,Var,1620,1615,1598,166,315,543,574,14,0
PUBLIC,Var,9861,9744,8632,2638,2079,1929,1986,0,71
PRIVE,Vaucluse,1446,1438,1390,184,310,440,456,13,0
PUBLIC,Vaucluse,5290,5212,4318,1252,1046,975,1045,0,41
PRIVE,Vendee,4508,4505,4269,764,1081,1332,1092,31,0
PUBLIC,Vendee,3851,3817,3141,770,834,782,755,0,34
PRIVE,Vienne,857,856,817,108,204,268,237,11,0
PUBLIC,Vienne,3821,3783,3167,696,766,816,889,0,34
PRIVE,Vosges,491,491,470,95,107,122,146,9,0
PUBLIC,Vosges,3503,3486,3032,669,661,756,946,0,38
PUBLIC,Yonne,3368,3338,2817,839,693,642,643,0,30
PRIVE,Yonne,419,419,416,36,108,100,172,4,0
PRIVE,Yvelines,3680,3676,3648,248,498,1163,1739,23,0
PUBLIC,Yvelines,16663,16596,14564,3433,3121,3433,4577,0,117
